"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"SRR1974543",0.791334178771814,1.84427805235067,-2.30258509299405,-6.20818417050879,1,3.06221728867437,-5.34515392471454,2.95336132942578,5.62036675420355,-3.24369331082873,0.1,-0.0324771467324387
"SRR1974544",-4.70873279740512,-10.8045508612472,-2.30258509299405,-6.06823744856696,1,19.0807862471201,-9.74913395679045,22.3471985453438,1.73987449331607,-1.27185302932018,0.1,2.56997068212409
"SRR1974545",-1.02052403785422,-2.03728381670744,-2.30258509299405,-6.4892701265322,1,1.05250721713262,-4.33209708668984,3.66215928891752,5.69622206672495,-3.26581233327066,0.1,0.866238235473556
"SRR1974546",1.48684433363558,3.55236463297202,-2.30258509299405,-6.22913628711188,1,3.50942333017169,-5.51862616278148,2.54259389083708,5.55537499971738,-2.78373516719403,0.1,-0.299288807773211
"SRR1974547",-2.89028888873357,-5.68068720003616,-2.30258509299405,-6.0911588065952,1,0.01,-8.33139708845656,2.44356001700324,5.42122997958382,-2.05411741767364,0.1,1.8419030171033
"SRR1974548",-2.24723045157895,-5.18827811852816,-2.30258509299405,-6.07667699296009,1,0.01,-3.82746686266971,2.52638727533542,6.18347367205573,-1.19827357446321,1.08702595510187,1.44759134834984
"SRR1974549",-0.480015186122918,-1.16006256928769,-2.30258509299405,-6.23496686494272,1,2.58338534480975,-7.49481367157303,2.59473126801264,5.7561960255753,-2.44050389373157,0.1,0.521920717926626
"SRR1974550",17.0064556418082,-8.69858476611085,-2.30258509299405,-6.24122148607211,1,7.6680412108544,-8.79571938887019,1.48157780395121,5.7974161670351,-1.64246183745222,0.1,1.21661471015747
"SRR1974551",-0.439179253979174,-0.921400102530037,-2.30258509299405,-5.86804765687342,1,100,-4.59508296196848,3.32570546567654,7.7587243719262,-0.839324869985041,20,0.559275038532376
"SRR1974552",0.843453337618933,1.93138323969609,-2.30258509299405,-6.20127864918784,1,100,-9.36276301004997,3.09557281801386,5.69906065736699,-2.29754961512365,0.1,-0.0299940955063481
