,UMAP_1,UMAP_2,UMAP_3,clusters,Cell_type
SRR1974543,-7.68352033140322,1.64828751667262,-3.06596326874569,5,oligodendrocytes
SRR1974544,-4.52864171507021,2.67377923115016,-2.71875488804653,1,hybrid
SRR1974545,-8.82452680112978,1.78754983528376,-2.63106370018795,5,oligodendrocytes
SRR1974546,-4.34493495466371,4.44248686416865,-1.35526816593483,4,hybrid
SRR1974547,-5.92646218778749,2.25636361225367,-2.77529561566189,1,hybrid
SRR1974548,-6.65334416868349,0.342173915941722,-3.86633634613827,6,oligodendrocytes
SRR1974549,-7.94734670164247,2.02006630285502,-3.0480827097781,5,oligodendrocytes
SRR1974550,-4.31574441434999,4.55586443527461,-1.14506241725758,4,hybrid
SRR1974551,-6.17269660474916,2.09100351913691,-2.80572223709896,1,hybrid
SRR1974552,-7.49799920560976,2.08670679910899,-2.86836087750271,5,hybrid
SRR1974553,-8.24875070097109,2.27030680759669,-2.89518868969753,5,oligodendrocytes
SRR1974554,-4.35791398527285,3.07011697872401,-2.9839330916293,1,hybrid
SRR1974555,-3.42327643873354,1.40501185471982,-2.52120745228603,1,hybrid
SRR1974556,-4.47930861951967,3.35219119175196,-2.57573771523312,1,hybrid
SRR1974557,-1.01475073339601,3.55881486519099,4.47661948157474,2,astrocytes
SRR1974558,-5.0107145452704,2.33328674419642,-2.88578438805416,1,hybrid
SRR1974559,-5.5665874624457,2.11795429571391,-2.82643437432125,1,hybrid
SRR1974560,-5.28684045316835,2.49935100658656,-2.79474723385647,1,hybrid
SRR1974561,-8.13572980405947,2.08032469137431,-3.04379320191219,5,oligodendrocytes
SRR1974562,-8.56945420744081,2.2042312441659,-2.53296947525814,5,oligodendrocytes
SRR1974563,-7.44147397520204,1.87988938077212,-2.69860506104305,5,oligodendrocytes
SRR1974564,-8.42135812284609,1.71301717742205,-2.68378555821255,5,oligodendrocytes
SRR1974565,-6.53182269575258,0.26046155079127,-3.91075944947079,6,OPC
