cluster,genes
1,"GABRA1, NRIP3, SYNPR, GABRB2, VSNL1, GABRG2, VSTM2A, NAP1L5, PARM1, CCK"
2,"SOX11, SYNE2, TMSB15A, IGFBPL1, BCL11A, MEX3A, NNAT, CD24P4, SOX4, DCX"
3,"ETNPPL, AQP4, GJA1, AGT, SLCO1C1, MGST1, ADGRV1, RANBP3L, GJB6, BMPR1B"
4,"NEUROD6, SATB2, SLA, CSRP2, CD24P4, SCUBE1, SEMA3A, DCX, TMSB15A, MN1"
5,"SNORD115, GAD1, CDH9, CCK, CKMT1B, SCG2, SYNPR, PWAR1, MEG3, UNC80"
6,"ERMN, CNDP1, OPALIN, PLP1, UGT8, CLDN11, TMEM144, RNASE1, ENPP2, TF"
7,"PDGFRA, B3GNT7, PCDH15, LHFPL3, MEGF11, TNR, LRRK2, OLIG1, SEMA5A, APOD"
8,"CD74, RGS1, PLEK, CCL3, CCL4, OLR1, ITGAX, C3, GPR183, LAPTM5"
9,"BMPR1B, ETNPPL, AQP4, GJA1, EDNRB, TTTY15, ATP13A4, SLC4A4, DIO2, SLCO1C1"
10,"IFITM1, APOLD1, ITIH5, ANXA1, KLF4, IFITM3, CAVIN1, TM4SF1, MSX1, CEBPD"
