Gene,Name,Description,Sauce
PLD5,Phospholipase D Family Member 5,"Predicted to enable catalytic activity. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD5
SCG2,Secretogranin II,"The protein encoded by this gene is a member of the chromogranin/secretogranin family of neuroendocrine secretory proteins. Studies in rodents suggest that the full-length protein, secretogranin II, is involved in the packaging or sorting of peptide hormones and neuropeptides into secretory vesicles. The full-length protein is cleaved to produce the active peptide secretoneurin, which exerts chemotaxic effects on specific cell types, and EM66, whose function is unknown. [provided by RefSeq, Jul 2008]",https://www.ncbi.nlm.nih.gov/gene/7857#summary
 PARM1,prostate androgen-regulated mucin-like protein 1,"Predicted to be involved in positive regulation of telomerase activity. Located in several cellular components, including Golgi apparatus; endosome; and nucleoplasm. Broad expression in thyroid (RPKM 83.3), colon (RPKM 61.9) and 21 other tissues[provided by Alliance of Genome Resources, Apr 2022]",https://www.ncbi.nlm.nih.gov/gene/25849
GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,"This gene encodes a gamma-aminobutyric acid (GABA) receptor. GABA is the major inhibitory neurotransmitter in the mammlian brain, where it acts at GABA-A receptors, which are ligand-gated chloride channels. GABA-A receptors are pentameric, consisting of proteins from several subunit classes: alpha, beta, gamma, delta and rho. Mutations in this gene have been associated with epilepsy and febrile seizures. Multiple transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Jul 2008] Restricted expression toward brain",https://www.ncbi.nlm.nih.gov/gene/2566
CCL3,C-C motif chemokine ligand 3,"This locus represents a small inducible cytokine. The encoded protein, also known as macrophage inflammatory protein 1 alpha, plays a role in inflammatory responses through binding to the receptors CCR1, CCR4 and CCR5. Polymorphisms at this locus may be associated with both resistance and susceptibility to infection by human immunodeficiency virus type 1.[provided by RefSeq, Sep 2010] This gene has been reviewed for its involvement in coronavirus biology, and is involved in cytokine storm inflammatory response. Biased expression in bone marrow (RPKM 81.4), liver (RPKM 17.1) and 10 other tissues",https://www.ncbi.nlm.nih.gov/gene/6348
PDGFRA,platelet derived growth factor receptor alpha,"This gene encodes a cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family. These growth factors are mitogens for cells of mesenchymal origin. The identity of the growth factor bound to a receptor monomer determines whether the functional receptor is a homodimer or a heterodimer, composed of both platelet-derived growth factor receptor alpha and beta polypeptides. Studies suggest that this gene plays a role in organ development, wound healing, and tumor progression. Mutations in this gene have been associated with idiopathic hypereosinophilic syndrome, somatic and familial gastrointestinal stromal tumors, and a variety of other cancers. [provided by RefSeq, Mar 2012] Ubiquitous expression in ovary (RPKM 74.4), brain (RPKM 24.8) and 20 other tissues",https://www.ncbi.nlm.nih.gov/gene/5156
LRRK2,leucine rich repeat kinase 2,"This gene is a member of the leucine-rich repeat kinase family and encodes a protein with an ankryin repeat region, a leucine-rich repeat (LRR) domain, a kinase domain, a DFG-like motif, a RAS domain, a GTPase domain, a MLK-like domain, and a WD40 domain. The protein is present largely in the cytoplasm but also associates with the mitochondrial outer membrane. Mutations in this gene have been associated with Parkinson disease-8. [provided by RefSeq, Jul 2008] Broad expression in lung (RPKM 31.3), appendix (RPKM 7.6) and 15 other tissues",https://www.ncbi.nlm.nih.gov/gene/120892
MEX3A,mex-3 RNA binding family member A,"Enables RNA binding activity. Located in P-body and cytosol. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in endometrium (RPKM 3.0), ovary (RPKM 2.6) and 16 other tissues",https://www.ncbi.nlm.nih.gov/gene/92312
VSNL1,visinin like 1,"This gene is a member of the visinin/recoverin subfamily of neuronal calcium sensor proteins. The encoded protein is strongly expressed in granule cells of the cerebellum where it associates with membranes in a calcium-dependent manner and modulates intracellular signaling pathways of the central nervous system by directly or indirectly regulating the activity of adenylyl cyclase. Alternatively spliced transcript variants have been observed, but their full-length nature has not been determined. [provided by RefSeq, Jul 2008] Biased expression in brain (RPKM 206.9), esophagus (RPKM 16.5) and 2 other tissues",https://www.ncbi.nlm.nih.gov/gene/?term=vsnl
EDNRB,endothelin receptor type B,"The protein encoded by this gene is a G protein-coupled receptor which activates a phosphatidylinositol-calcium second messenger system. Its ligand, endothelin, consists of a family of three potent vasoactive peptides: ET1, ET2, and ET3. Studies suggest that the multigenic disorder, Hirschsprung disease type 2, is due to mutations in the endothelin receptor type B gene. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Oct 2016] Broad expression in placenta (RPKM 49.8), lung (RPKM 38.6) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/1910
